component,terminal_id,temperature,timestamp
Monitor,9,69.3,2017-01-20 19:40:57
USB,4,84.2,2016-12-21 09:14:59
CPU,1,60.5,2016-06-12 13:44:10
GPU,1,46.5,2016-10-31 12:01:23
Monitor,2,45.7,2017-02-18 22:50:40
Monitor,19,79.4,2016-07-24 17:35:39
USB,1,77.5,2016-11-28 00:48:18
CPU,10,59.9,2016-10-25 15:52:57
USB,18,96.5,2016-03-04 06:16:38
Monitor,19,55.6,2016-08-04 17:25:46
GPU,2,69.5,2016-05-05 05:29:32
GPU,7,43.3,2016-03-18 06:47:36
Monitor,3,55.4,2016-12-31 14:04:00
Battery,8,69.1,2016-11-03 05:05:14
Monitor,17,41.2,2016-03-09 15:36:12
CPU,8,57.8,2016-09-06 12:53:21
USB,20,55.8,2016-06-19 21:38:11
GPU,14,50.1,2017-01-24 22:55:17
Battery,19,68.9,2016-06-03 00:20:41
CPU,13,53.8,2017-02-20 02:06:39
USB,2,92.0,2016-03-30 16:58:37
GPU,20,42.3,2017-02-16 10:36:59
GPU,9,53.4,2016-08-18 07:55:39
Monitor,9,47.1,2016-07-10 03:11:15
CPU,10,96.0,2016-10-03 14:10:09
USB,1,52.6,2016-04-02 18:35:01
USB,17,89.0,2016-11-09 09:14:55
Battery,3,87.7,2016-10-19 18:56:13
CPU,4,54.4,2016-06-08 04:37:37
GPU,12,87.7,2016-11-12 16:01:49
GPU,12,74.5,2017-02-05 04:45:01
GPU,18,51.5,2016-06-14 04:20:44
Monitor,19,94.2,2016-03-05 01:56:44
CPU,16,49.5,2016-10-28 02:20:29
Battery,5,96.4,2016-10-02 08:32:19
GPU,18,64.8,2016-11-30 08:47:47
GPU,19,75.1,2017-01-30 05:17:05
Monitor,13,59.8,2016-10-28 19:41:45
USB,7,62.4,2016-09-07 12:31:23
CPU,11,96.3,2017-01-22 06:49:31
USB,10,54.5,2016-05-13 10:35:44
USB,3,67.3,2016-07-26 10:19:41
CPU,13,72.0,2016-06-15 02:43:22
CPU,3,99.9,2017-01-01 04:15:16
USB,8,79.9,2017-01-08 12:08:34
GPU,13,85.8,2016-09-30 22:01:34
Monitor,4,81.8,2016-09-19 08:34:44
Monitor,17,48.0,2017-01-09 14:14:13
USB,7,59.8,2016-11-26 04:29:19
Battery,1,100.0,2016-10-03 14:50:05
Monitor,17,70.9,2016-09-17 13:10:51
CPU,11,83.3,2016-04-20 21:11:15
GPU,15,90.6,2016-07-27 06:33:05
Monitor,19,53.2,2016-12-13 03:30:24
Battery,19,72.8,2017-01-04 11:49:25
Battery,13,53.5,2016-08-01 23:07:27
CPU,17,79.4,2017-03-15 22:25:26
Battery,9,67.5,2017-01-06 11:38:30
CPU,1,79.1,2016-09-07 17:21:22
CPU,4,56.3,2017-01-09 08:59:26
GPU,17,62.0,2016-10-30 17:54:42
CPU,4,75.9,2016-04-26 14:11:50
Battery,12,44.0,2017-01-29 22:51:35
GPU,13,64.1,2016-05-11 00:16:17
Battery,14,98.3,2017-01-24 01:23:04
USB,4,53.4,2016-08-11 11:02:01
Monitor,1,87.6,2016-04-10 09:05:19
USB,7,79.5,2016-07-30 16:56:55
Monitor,1,48.6,2016-11-26 19:37:07
Monitor,8,46.8,2016-04-06 00:20:46
Monitor,5,49.6,2016-08-01 20:20:38
Battery,16,79.4,2016-10-26 19:14:16
Monitor,14,50.9,2016-06-14 02:30:07
USB,14,52.3,2016-04-25 18:17:45
Battery,5,49.7,2016-11-26 21:58:10
GPU,7,55.7,2016-10-13 18:05:03
Battery,8,62.7,2016-12-18 06:28:55
CPU,19,47.4,2016-12-20 08:22:19
CPU,13,69.0,2016-10-13 00:11:47
Battery,20,61.3,2016-04-16 15:15:19
GPU,3,47.5,2016-07-27 09:36:39
Monitor,18,83.7,2016-11-01 00:33:23
CPU,17,68.8,2016-05-14 18:09:49
Battery,10,73.3,2016-05-31 05:10:57
GPU,15,92.9,2017-01-03 07:06:32
CPU,19,97.6,2017-02-04 15:16:25
Monitor,16,48.6,2016-06-11 11:18:23
Battery,3,71.0,2016-10-09 16:02:21
Monitor,9,98.0,2016-11-05 10:22:20
GPU,19,82.4,2016-03-31 14:19:58
GPU,9,83.1,2016-07-16 23:43:52
GPU,20,41.3,2016-04-01 02:19:22
CPU,5,71.3,2016-06-26 14:27:41
USB,13,61.0,2016-04-02 15:48:17
USB,8,61.1,2016-07-20 22:42:37
USB,14,45.9,2016-04-12 01:25:16
CPU,8,97.5,2016-03-12 04:37:03
Monitor,10,92.1,2016-07-24 14:57:42
CPU,19,54.0,2016-05-26 17:18:39
GPU,2,80.3,2016-08-22 03:51:31
Battery,20,94.1,2017-03-06 05:29:07
CPU,2,74.5,2016-08-21 09:15:11
CPU,16,49.5,2016-06-24 10:24:48
CPU,16,99.6,2017-01-12 14:21:45
Monitor,10,77.0,2016-12-05 11:19:13
CPU,14,62.1,2016-03-17 11:06:23
Battery,18,45.9,2016-05-10 12:59:24
GPU,13,45.2,2016-11-28 23:36:23
USB,17,48.8,2016-10-11 06:32:13
Battery,18,69.2,2016-06-14 16:48:47
GPU,7,86.8,2016-08-17 23:52:00
Battery,3,95.8,2016-09-01 03:44:13
GPU,14,59.4,2016-06-05 07:10:30
Monitor,9,92.3,2016-12-16 01:40:33
Monitor,7,47.9,2017-01-21 10:10:39
CPU,13,71.8,2017-02-08 22:43:57
USB,14,98.8,2016-10-19 15:38:14
GPU,8,47.1,2016-09-10 12:29:54
USB,19,61.5,2016-10-20 07:27:28
Monitor,17,45.5,2016-11-11 08:24:55
Monitor,8,69.7,2016-07-25 21:27:41
GPU,4,75.8,2016-06-29 19:15:05
Battery,8,55.0,2016-07-27 20:16:52
Battery,4,88.0,2016-12-21 20:04:25
CPU,11,46.5,2017-03-03 03:42:00
GPU,16,88.6,2016-09-17 04:08:35
USB,15,79.4,2017-01-23 12:58:28
Battery,12,87.2,2016-08-01 17:53:47
USB,20,55.7,2016-09-20 22:08:23
CPU,17,51.4,2016-09-20 13:15:39
CPU,3,90.9,2016-10-26 12:09:56
USB,14,51.3,2016-10-20 03:18:05
GPU,19,59.5,2016-06-06 08:11:28
CPU,18,48.1,2016-08-01 05:14:22
Monitor,13,48.5,2017-03-13 02:06:39
CPU,19,54.5,2017-01-19 10:58:10
CPU,10,53.3,2016-09-24 02:53:21
GPU,11,91.4,2016-04-21 04:03:30
USB,3,94.4,2017-02-04 11:54:26
Battery,16,53.2,2016-08-15 08:15:36
Monitor,14,59.6,2016-03-08 19:34:20
USB,7,90.1,2016-09-23 13:03:42
USB,11,62.8,2016-08-11 07:40:58
CPU,3,75.8,2016-09-01 17:56:24
USB,12,42.3,2016-11-06 08:26:27
Battery,7,55.0,2016-06-10 22:50:57
GPU,13,57.8,2016-03-19 07:57:26
Battery,6,56.4,2016-04-06 04:39:11
Battery,5,63.9,2016-03-21 13:41:02
CPU,16,96.4,2017-01-28 10:57:53
Monitor,11,75.9,2016-08-29 08:46:06
CPU,3,84.2,2017-03-12 16:03:58
GPU,5,95.3,2016-05-18 12:27:21
USB,1,53.0,2017-01-17 09:00:31
USB,1,87.4,2016-03-13 00:59:14
Battery,12,93.0,2016-07-03 02:59:41
USB,12,80.5,2016-09-16 09:17:27
GPU,18,80.4,2016-06-16 21:23:01
GPU,4,78.3,2016-05-23 17:11:09
USB,11,46.4,2016-03-14 06:39:13
GPU,8,87.0,2016-05-13 00:37:58
CPU,16,49.1,2016-09-07 07:40:54
CPU,1,56.3,2016-10-18 16:29:33
Monitor,15,69.1,2016-10-12 17:15:52
Battery,1,85.1,2017-01-05 11:48:31
USB,13,54.6,2016-08-04 23:00:43
Battery,1,81.5,2016-09-14 00:47:52
USB,18,71.9,2017-03-12 19:13:05
Battery,19,78.1,2016-12-03 10:26:47
USB,2,62.9,2016-03-01 18:28:59
Battery,17,44.8,2017-03-12 13:56:55
GPU,17,91.1,2016-10-10 16:30:28
Battery,20,42.0,2017-01-25 10:44:53
USB,18,42.3,2016-10-16 09:55:14
USB,4,71.0,2016-05-04 21:10:17
GPU,5,40.3,2016-10-19 04:03:08
Battery,17,98.9,2017-03-03 14:03:35
Battery,11,64.1,2016-09-16 02:26:08
GPU,9,74.7,2016-05-20 12:10:10
USB,14,53.2,2017-02-18 23:17:24
Monitor,17,56.2,2016-04-13 03:25:58
GPU,1,48.9,2016-09-24 08:37:10
GPU,5,79.6,2017-02-21 13:54:15
Monitor,3,60.3,2016-09-15 09:06:40
GPU,11,44.0,2016-11-29 08:39:42
CPU,16,70.1,2016-07-23 19:37:51
Battery,12,47.9,2016-12-25 19:56:39
Monitor,10,64.8,2017-02-15 04:06:51
Battery,11,71.0,2016-03-24 16:43:36
Monitor,19,47.8,2016-12-20 18:44:03
Monitor,11,52.5,2017-03-01 10:25:02
CPU,18,71.0,2016-06-01 11:07:32
Battery,11,78.8,2016-08-06 21:02:32
Monitor,3,82.2,2017-01-13 18:27:24
Battery,2,90.8,2016-09-30 05:21:36
Battery,16,65.7,2017-02-24 15:07:29
Battery,15,48.7,2016-03-09 13:30:35
CPU,14,66.9,2016-10-17 04:18:08
CPU,4,64.8,2017-01-29 07:40:05
CPU,19,71.6,2016-12-26 14:21:31
GPU,15,57.3,2016-06-17 19:30:21
Monitor,17,92.5,2016-09-19 05:56:11
USB,17,41.0,2016-12-26 04:28:29
USB,18,59.0,2016-08-20 01:59:25
GPU,12,63.9,2016-08-25 12:11:41
USB,7,91.8,2016-12-13 08:57:51
USB,9,47.1,2016-12-26 07:41:39
USB,16,85.4,2017-01-04 02:40:25
GPU,3,80.9,2016-12-22 10:58:34
Monitor,13,71.5,2016-11-21 13:47:20
USB,2,53.3,2016-12-29 08:59:57
CPU,12,77.4,2016-07-12 21:30:21
USB,3,54.8,2016-08-11 05:46:08
Monitor,3,72.4,2016-09-30 10:22:43
USB,6,48.1,2016-09-08 19:41:17
CPU,10,75.9,2016-12-05 07:41:51
Battery,19,59.9,2016-12-01 21:37:31
GPU,20,86.6,2016-12-25 15:50:59
USB,8,89.1,2016-06-23 16:13:30
Battery,12,80.3,2016-08-05 18:49:15
USB,12,67.4,2016-10-09 15:32:23
GPU,3,45.0,2016-09-05 01:20:08
CPU,20,48.3,2016-07-18 04:57:19
Monitor,19,84.2,2016-06-30 02:12:41
CPU,1,60.3,2016-03-11 17:45:31
Battery,3,94.9,2017-03-03 17:28:14
CPU,16,66.7,2016-08-23 15:53:34
USB,4,56.1,2016-08-02 05:04:35
USB,18,56.2,2016-08-25 04:49:39
USB,1,48.0,2016-12-24 02:15:41
Monitor,15,44.8,2016-09-24 01:17:06
Battery,14,49.0,2016-08-03 20:04:47
Battery,4,71.2,2016-10-04 05:38:00
USB,18,83.8,2016-06-20 00:42:09
USB,17,75.6,2016-06-19 21:31:36
Battery,8,41.3,2016-07-07 08:43:05
USB,6,54.9,2016-04-24 17:53:16
CPU,14,55.5,2017-03-06 18:25:53
Battery,1,99.9,2017-01-20 02:31:57
Monitor,3,72.4,2016-04-04 17:45:07
Battery,13,59.4,2016-05-06 15:39:32
USB,20,70.4,2016-07-28 14:48:32
CPU,13,90.5,2016-07-13 00:36:43
USB,20,49.8,2016-08-29 08:56:47
GPU,8,99.3,2016-11-08 02:16:43
Monitor,15,61.0,2016-07-05 21:11:29
CPU,18,47.3,2017-02-18 23:48:13
Monitor,4,83.6,2016-04-29 22:19:55
Battery,2,56.5,2016-11-08 06:34:39
USB,16,42.4,2016-09-28 07:37:31
CPU,16,86.2,2016-12-04 01:58:19
Monitor,11,56.8,2016-04-14 08:10:36
GPU,20,46.5,2016-03-18 12:12:38
Monitor,12,47.5,2017-03-09 11:09:50
Monitor,13,90.7,2016-07-10 10:02:24
Battery,5,50.8,2016-08-17 10:52:42
GPU,13,57.9,2016-06-14 05:57:38
USB,3,70.6,2016-11-13 21:13:37
Battery,6,40.9,2016-07-12 15:07:20
Battery,20,85.9,2017-01-16 03:19:23
Battery,6,91.6,2017-02-24 12:52:40
CPU,8,71.6,2016-07-10 10:13:08
GPU,9,91.2,2016-07-14 13:14:41
USB,17,91.3,2016-11-18 12:49:46
GPU,6,63.3,2017-02-20 11:37:35
CPU,14,88.0,2016-10-10 15:43:56
USB,13,67.9,2016-06-03 23:32:26
USB,11,88.3,2016-09-17 00:17:35
USB,3,91.5,2017-01-03 15:25:08
Monitor,11,75.2,2016-06-04 02:42:51
Battery,3,71.4,2017-02-16 19:55:54
Monitor,5,49.9,2016-04-16 04:20:41
Monitor,10,99.4,2016-12-11 22:21:03
CPU,4,47.1,2017-03-04 03:52:19
Battery,12,99.8,2016-11-25 02:40:47
GPU,14,90.7,2016-04-23 13:29:21
Monitor,20,40.5,2016-05-06 15:14:59
Monitor,9,44.5,2016-09-08 03:31:17
USB,14,42.5,2016-12-26 16:14:28
Battery,16,90.9,2016-10-14 22:08:18
USB,18,81.3,2017-03-13 05:57:25
CPU,14,51.9,2017-02-04 00:10:36
CPU,15,81.4,2016-10-08 06:54:13
USB,3,44.4,2016-08-16 20:06:52
USB,16,92.4,2016-09-30 20:56:28
USB,10,62.6,2016-04-23 13:09:00
USB,17,91.1,2016-04-25 04:39:33
GPU,20,91.5,2016-03-18 19:38:04
USB,9,89.5,2016-03-30 02:28:50
GPU,11,77.0,2017-01-01 03:46:50
Monitor,5,62.0,2016-07-12 18:15:42
USB,10,72.5,2016-12-19 13:15:44
GPU,16,41.2,2016-05-14 06:38:51
Monitor,6,50.8,2016-03-19 22:59:33
Battery,12,95.0,2016-09-05 13:58:18
Battery,6,64.5,2016-04-26 21:30:56
Monitor,6,76.4,2017-01-18 23:51:12
GPU,9,58.2,2016-10-04 11:16:04
CPU,5,46.6,2016-04-16 21:46:11
CPU,13,71.0,2017-01-30 21:39:40
Monitor,16,47.6,2016-06-14 23:16:16
GPU,14,91.9,2016-06-05 16:41:00
Monitor,19,60.0,2016-10-11 15:28:43
Monitor,2,53.2,2017-01-31 20:25:45
Battery,14,40.4,2016-09-17 16:43:59
GPU,11,44.6,2016-07-13 01:37:24
USB,5,99.8,2016-10-08 22:06:51
CPU,8,78.3,2016-11-06 07:38:57
CPU,15,53.9,2017-01-03 21:26:53
GPU,14,56.9,2017-02-04 17:55:15
USB,12,51.3,2016-03-16 11:18:33
GPU,17,92.7,2016-11-18 15:29:14
GPU,18,69.4,2016-09-02 09:17:39
USB,8,64.4,2016-06-26 07:12:06
USB,1,67.0,2016-10-20 07:44:41
GPU,4,42.1,2017-02-28 11:38:27
GPU,4,44.4,2016-09-21 20:29:54
GPU,16,63.5,2016-08-06 10:58:01
GPU,1,88.0,2016-04-04 08:49:01
Battery,13,85.6,2017-02-09 00:17:17
CPU,13,90.9,2017-02-14 20:18:03
Battery,5,52.9,2017-03-02 03:52:21
USB,11,47.0,2016-03-15 17:17:22
USB,14,65.7,2016-06-18 05:23:40
USB,8,88.5,2016-10-01 03:51:50
CPU,20,71.7,2016-06-10 03:52:12
Battery,17,47.8,2017-01-22 16:18:39
GPU,12,41.1,2016-06-30 18:54:09
Monitor,11,97.2,2017-02-22 05:35:55
Monitor,16,42.8,2016-04-10 18:47:16
CPU,3,100.0,2016-03-05 21:33:46
Monitor,15,82.3,2016-08-11 14:30:14
CPU,1,68.5,2016-06-04 03:30:58
CPU,2,54.6,2016-12-22 02:34:01
Monitor,4,58.1,2016-10-11 00:46:58
Monitor,7,95.5,2016-12-10 15:13:20
Battery,17,55.5,2016-03-25 07:33:05
CPU,16,94.0,2016-04-26 23:01:35
CPU,3,96.1,2016-10-25 14:17:54
GPU,13,77.7,2016-12-13 22:19:57
USB,4,95.0,2016-11-06 20:53:22
CPU,2,82.7,2016-05-25 00:04:19
USB,14,43.7,2016-03-08 21:58:06
Battery,19,79.5,2016-04-24 12:58:50
Monitor,4,72.7,2016-04-12 11:09:55
Monitor,7,52.6,2016-07-01 22:46:22
Monitor,17,77.5,2016-08-26 01:22:32
Monitor,3,86.1,2016-12-12 09:02:38
USB,1,73.6,2016-03-12 09:10:15
USB,12,52.8,2016-06-22 14:23:33
CPU,4,84.1,2016-03-02 21:27:32
CPU,19,59.7,2016-06-18 08:50:51
CPU,15,83.8,2016-09-18 17:04:55
Battery,12,84.6,2016-07-25 19:32:58
USB,4,65.2,2016-04-26 21:11:37
GPU,4,41.7,2017-01-10 10:00:50
USB,2,87.3,2016-05-21 19:26:37
GPU,20,97.0,2016-09-29 23:22:55
GPU,1,47.0,2016-07-31 00:44:20
Monitor,13,41.1,2016-03-06 03:15:51
USB,20,48.6,2016-03-14 00:03:43
CPU,12,96.5,2016-03-30 19:19:06
Monitor,15,76.4,2016-04-23 11:55:30
GPU,7,69.3,2017-01-19 01:21:37
CPU,13,43.3,2016-12-18 20:50:15
USB,16,76.4,2016-12-05 11:41:14
Battery,5,94.0,2017-01-07 07:28:22
Monitor,5,85.0,2016-10-07 11:25:01
CPU,1,88.0,2016-12-20 04:23:22
Battery,6,79.3,2016-03-19 19:33:21
CPU,6,75.4,2016-04-06 00:46:09
Battery,19,95.9,2016-11-13 19:24:13
USB,3,86.7,2017-03-01 11:37:14
CPU,13,48.3,2016-10-03 05:32:38
Monitor,16,56.0,2016-05-17 07:11:54
USB,4,47.6,2016-05-31 09:34:42
USB,8,68.2,2016-06-04 13:37:20
USB,2,79.2,2016-04-20 15:37:57
GPU,14,84.1,2017-01-18 09:49:25
CPU,15,98.7,2016-11-30 04:07:42
USB,20,63.6,2017-02-07 10:18:36
Monitor,4,72.9,2016-07-16 11:50:24
USB,11,84.5,2016-10-10 07:00:03
Monitor,19,76.9,2016-07-05 11:17:58
Monitor,15,77.8,2016-06-06 04:25:36
Battery,9,90.2,2017-02-10 12:31:56
GPU,16,48.1,2016-11-26 23:05:02
GPU,12,99.3,2017-02-11 15:09:06
Battery,17,83.3,2017-01-11 09:14:05
Battery,8,79.4,2016-05-28 16:25:09
Monitor,15,93.7,2016-09-11 15:36:57
Battery,9,96.9,2017-01-12 13:22:00
Battery,5,94.1,2016-11-03 05:04:07
Monitor,20,73.8,2016-08-14 23:42:04
CPU,7,79.5,2016-07-04 06:40:16
Monitor,2,59.2,2016-03-07 06:10:09
GPU,10,56.0,2016-07-24 16:47:00
USB,20,95.1,2016-07-07 19:37:06
GPU,16,58.1,2016-03-28 23:17:23
CPU,9,48.7,2017-01-05 03:30:05
Battery,6,85.8,2017-01-05 04:26:58
Battery,18,97.0,2016-11-06 11:18:08
Monitor,11,70.9,2016-10-13 09:27:23
USB,16,77.3,2016-03-30 10:36:41
Battery,10,78.2,2016-06-07 08:16:25
CPU,14,49.1,2016-07-22 09:19:30
Monitor,19,49.8,2016-11-17 07:17:14
Monitor,20,88.7,2016-11-22 18:25:47
Monitor,19,48.2,2016-06-09 09:32:12
GPU,11,49.2,2016-04-14 22:51:00
USB,17,65.6,2016-11-21 02:47:35
Monitor,7,65.2,2016-07-06 07:02:48
Battery,17,86.6,2017-02-13 02:30:40
Battery,2,53.7,2016-03-20 01:26:34
Battery,9,90.0,2016-07-19 04:16:33
USB,9,42.8,2016-06-12 12:22:32
GPU,13,68.5,2016-10-05 14:49:09
GPU,14,59.9,2016-07-20 20:37:39
Battery,2,84.4,2016-12-28 00:02:19
Battery,1,76.5,2016-08-09 20:52:44
USB,19,88.6,2016-07-03 11:13:14
USB,5,62.1,2016-03-17 08:23:08
Monitor,2,77.5,2016-03-25 11:39:41
Monitor,17,71.3,2017-03-04 04:35:01
USB,14,61.4,2017-02-13 17:26:38
USB,14,55.4,2016-10-21 18:07:02
CPU,2,85.5,2016-10-25 06:01:14
Monitor,16,81.0,2016-10-21 11:27:51
Battery,13,61.7,2016-12-19 05:00:20
CPU,5,93.0,2016-09-11 10:09:44
USB,6,68.1,2016-12-28 12:46:11
USB,20,90.0,2016-11-17 14:19:27
Battery,9,55.3,2016-12-07 11:26:17
Monitor,2,71.9,2016-12-10 21:07:31
Battery,1,90.8,2016-10-30 19:28:36
Battery,17,91.5,2016-05-08 19:08:52
CPU,10,63.3,2016-07-20 12:40:24
USB,7,56.5,2016-08-20 03:44:11
Monitor,4,95.2,2016-07-05 05:03:53
Monitor,5,57.1,2016-06-24 21:27:02
Battery,8,99.5,2016-06-14 07:20:23
USB,16,42.7,2016-12-11 23:08:48
Monitor,11,50.5,2016-11-24 16:33:25
CPU,4,73.9,2016-04-30 06:01:02
Monitor,19,79.7,2017-01-13 19:46:47
GPU,15,59.3,2017-03-14 11:18:10
GPU,12,77.0,2016-09-22 00:59:03
USB,4,59.3,2016-04-15 10:10:08
GPU,5,84.9,2017-01-22 09:37:10
Monitor,2,52.4,2016-04-26 02:17:01
GPU,4,55.7,2016-06-25 05:52:40
Monitor,17,55.8,2016-10-08 23:42:24
Monitor,18,94.0,2016-10-01 20:14:36
USB,3,59.9,2016-06-01 21:26:57
CPU,2,52.0,2016-08-12 03:30:41
USB,17,86.1,2016-12-24 06:07:10
CPU,16,84.7,2016-03-16 02:36:59
GPU,6,66.3,2016-09-23 07:41:25
Monitor,8,98.6,2016-10-09 02:54:18
Monitor,16,69.5,2016-04-25 15:37:24
CPU,6,67.3,2017-03-02 13:11:39
USB,14,69.6,2017-02-20 12:04:28
CPU,6,51.3,2017-02-24 08:20:40
Monitor,18,80.5,2016-10-16 08:37:15
USB,12,63.2,2016-03-05 16:12:07
USB,12,94.6,2017-03-04 00:51:44
CPU,14,61.7,2017-01-26 21:14:58
Monitor,15,53.0,2016-03-26 12:10:08
GPU,14,91.2,2017-01-26 14:51:05
CPU,11,51.7,2017-03-11 11:39:21
GPU,3,63.2,2016-11-01 00:47:58
USB,19,86.1,2016-12-29 09:03:39
Monitor,1,92.6,2016-10-17 15:22:07
GPU,7,62.2,2016-05-26 20:51:14
Battery,2,90.4,2016-09-21 14:58:13
CPU,15,79.3,2016-04-07 10:10:44
Monitor,15,41.7,2016-04-07 14:33:07
Battery,1,69.5,2017-01-09 11:53:08
GPU,8,57.9,2016-06-15 04:23:07
Monitor,3,82.7,2016-04-02 04:26:06
Battery,6,75.3,2016-03-11 14:06:49
USB,9,45.9,2017-02-18 14:21:59
Monitor,6,45.2,2016-10-08 21:36:02
CPU,13,75.1,2016-09-23 19:40:25
USB,19,60.6,2016-06-06 13:09:22
Battery,1,57.4,2016-11-05 06:14:27
Monitor,13,71.4,2016-04-21 10:45:15
USB,2,44.8,2016-03-06 02:10:37
Monitor,20,74.2,2016-04-12 15:08:51
GPU,13,60.0,2016-08-12 15:55:42
CPU,16,74.2,2016-03-19 22:09:50
CPU,2,59.3,2016-11-06 15:08:17
USB,1,88.9,2017-02-02 06:35:06
Monitor,2,75.5,2016-06-06 12:22:30
GPU,16,78.6,2016-06-01 20:26:47
GPU,15,53.0,2016-12-15 10:09:13
Battery,13,77.6,2017-01-25 23:27:38
Battery,3,83.0,2017-03-02 15:35:00
Battery,13,77.3,2017-01-20 09:13:55
Monitor,13,50.3,2016-03-08 11:14:01
Monitor,1,46.0,2017-01-27 12:21:08
GPU,4,58.6,2016-09-03 12:52:44
Monitor,5,71.5,2016-06-28 14:20:46
USB,11,53.1,2017-03-05 22:54:25
Monitor,3,61.5,2016-12-20 07:48:01
Battery,2,69.4,2016-11-29 14:42:49
GPU,4,57.4,2016-05-12 20:51:35
Monitor,7,97.9,2016-11-28 09:52:02
Battery,19,87.7,2017-01-12 19:05:11
USB,6,88.3,2016-05-26 17:23:36
USB,7,46.5,2016-06-22 23:42:14
USB,8,97.4,2016-07-05 14:03:25
GPU,12,78.5,2016-11-09 22:08:20
CPU,4,90.3,2016-07-30 23:12:01
Battery,9,79.1,2016-12-11 06:12:18
USB,11,93.6,2016-05-06 15:07:48
Battery,5,71.9,2017-03-07 04:16:07
USB,12,85.9,2017-02-16 11:57:46
GPU,18,89.9,2017-02-18 08:57:07
USB,2,65.7,2016-10-25 04:33:02
Battery,11,98.6,2016-12-25 10:51:09
USB,20,53.5,2016-09-18 15:52:42
USB,2,95.5,2016-11-01 09:39:04
USB,14,85.8,2016-05-23 22:49:13
GPU,7,69.9,2016-12-29 14:55:41
USB,15,98.5,2016-10-17 18:47:28
Monitor,20,56.6,2017-02-12 10:23:42
Battery,8,46.0,2016-12-18 13:52:48
Monitor,19,91.7,2016-12-05 02:20:32
Monitor,13,63.5,2016-07-19 01:55:50
Battery,2,47.3,2016-05-24 09:53:26
CPU,12,63.4,2016-07-22 09:20:08
Battery,2,90.8,2016-10-05 22:23:17
CPU,8,86.2,2016-07-16 18:58:25
Monitor,10,76.5,2016-07-29 17:10:31
GPU,2,74.7,2016-07-14 18:18:41
Monitor,13,81.4,2016-05-14 04:26:42
GPU,15,43.7,2017-03-03 02:18:01
USB,17,48.9,2016-05-11 15:10:32
Battery,1,93.5,2016-12-19 16:24:36
Monitor,3,74.3,2017-03-15 05:52:54
Battery,20,60.0,2016-06-28 12:41:15
Monitor,10,46.5,2016-08-15 14:49:10
Monitor,13,73.7,2016-04-22 05:51:31
Monitor,16,48.3,2016-12-25 18:37:30
USB,8,50.6,2017-01-07 17:42:13
GPU,15,80.9,2016-05-16 11:19:53
USB,16,44.1,2016-08-16 16:29:08
USB,16,76.4,2016-05-31 03:14:25
CPU,14,88.1,2017-01-01 06:10:43
Monitor,20,44.8,2017-01-02 09:44:58
USB,12,58.2,2016-07-25 14:23:34
GPU,7,40.6,2016-04-24 05:18:41
Battery,14,99.6,2016-09-11 07:57:53
GPU,8,91.3,2016-07-08 14:22:28
CPU,3,68.7,2016-09-26 17:28:58
Battery,16,69.5,2016-08-25 15:38:06
Battery,19,51.3,2016-08-03 00:59:52
Monitor,18,93.0,2016-10-08 15:50:22
USB,16,97.2,2017-02-06 21:10:34
USB,6,87.7,2016-04-17 13:10:36
Battery,17,51.4,2016-06-17 23:00:59
Battery,6,86.9,2016-04-18 17:37:05
Battery,8,42.1,2016-04-02 07:54:06
Monitor,16,73.4,2016-10-17 19:14:23
GPU,19,61.8,2016-09-08 14:22:04
USB,1,79.0,2016-11-21 02:16:59
USB,5,74.8,2016-09-14 11:22:30
USB,20,60.4,2016-10-27 13:14:25
Battery,19,62.3,2016-05-20 11:52:54
Monitor,16,47.5,2017-02-10 23:01:42
CPU,7,72.9,2016-10-19 14:24:29
CPU,7,56.4,2016-09-11 02:11:12
CPU,14,91.1,2016-08-24 00:03:51
USB,5,89.7,2016-06-05 18:41:04
Monitor,6,79.8,2016-09-06 23:35:11
Battery,3,52.3,2016-10-25 22:40:14
Battery,14,96.1,2016-07-05 01:50:22
USB,14,89.0,2017-01-22 10:23:31
USB,13,43.1,2016-04-08 08:35:09
Monitor,11,66.9,2017-02-09 14:06:29
GPU,5,87.5,2016-11-06 17:26:32
USB,17,79.6,2016-12-16 09:18:45
CPU,4,70.2,2016-03-09 17:30:29
Monitor,13,40.7,2016-10-12 15:52:09
Battery,13,72.0,2017-02-25 04:50:41
Monitor,4,69.8,2016-09-06 08:10:45
Monitor,14,62.4,2016-10-23 04:39:05
GPU,2,55.2,2016-07-14 16:48:04
Battery,1,83.4,2016-11-16 12:47:46
Battery,18,98.1,2016-05-02 18:00:37
Monitor,1,46.5,2016-09-01 00:53:16
Monitor,2,57.4,2016-09-16 19:38:19
Battery,9,78.5,2016-05-10 16:00:49
Monitor,2,95.2,2016-09-17 03:17:03
USB,18,51.6,2016-11-08 03:22:58
Battery,9,99.8,2016-04-04 20:31:36
Monitor,16,74.0,2016-12-02 17:05:08
Monitor,9,52.0,2016-08-16 09:49:09
CPU,15,41.3,2016-11-06 04:18:52
USB,1,67.5,2016-03-15 03:21:09
Battery,13,45.1,2017-01-03 18:58:14
GPU,14,86.7,2016-06-04 21:55:25
Battery,15,80.3,2016-09-14 10:49:47
Battery,6,48.4,2016-08-14 13:29:14
GPU,17,89.3,2016-08-12 05:28:24
Battery,7,53.3,2016-08-16 03:18:53
Monitor,8,76.2,2016-05-28 17:49:11
